name,adsorption
quphuf_P1,1.1067683929
qupzim01_P1,8.2517184226
quqfis_P1_H,2.4096845873
quqham01_P1,0.0
quqham_P1,0.0
qursec_P1,3.7588834814
qusjia_P1_charged,0.3958360212
quvlaw_P1,1.8824119703
raczec_P1,1.6039548506
rahbou_P1,5.176545581
rahnof_P1,10.195148187
rannom_P1,1.6446106663
raspej_P1,2.1625250684
ratcul03_P1,2.1685423976
ratgax_P1,2.1213380089
ravviu_P1,0.0120551481
rawyas_P1,5.3103822783
raxyof_P1,1.6311066656
raylou_P1,3.7357237906
rebyij_P1_charged,4.1981541408
regqur_P1_H,0.5818856037
rellaw_P1,5.2620860891
repciz_P1,5.7205487133
rewneo01_P1,10.9805352754
rewneo_P1,11.8767007486
rewvex_P1_H,1.9413174254
rexdab_P1,3.9488930124
riflup_P1_charged,5.720810555
rifqut_P1_H,1.0921150723
rifsoq_P1,8.4958764596
rinnou_P1_H,4.6578303504
ripkim01_P1,1.3338659012
ripkim_P1,1.3312683045
risbig_P1,3.037810638
rivria_P1,2.4265700292
riwkug_P1,1.9574351064
rofgol_P1,2.6980505784
ronyur_P1_charged_H,8.5412292176
rorvig_P1,0.0
rovyej_P1_H,5.2695848179
royrii_P1,1.1494273939
rucgom_P1_H,0.0001425182
rudwar_P1,0.673704908
rugkov_P1,5.0369847295
rukdos_P1_H,8.3426636387
rulrey_P1,1.7064743299
rupruq_P1_H,7.3335363436
ruyqin03_P1,3.791219356
ruyvak_P1,3.950629627
sabvoh_P1_H,4.8286735103
sahwuw_P1,3.4076135453
sahyoq05_P1,14.0166929274
sajdit_P1,2.6907783228
sakraz_P1,2.1850581024
sakred_P1,2.1894797559
sapcoe_P1,0.8655197052
sarboe_P1,2.9442818311
sarhaw_P1,5.6081792664
satnor04_P1,4.948609281
saxyoi_P1_H,7.2468572433
saxyuo_P1_H,3.9065545488
seftoo_P1,4.4410077865
sekboc_P1,8.5768831433
selkec_P1_H,9.506480569
semfib_P1_charged,2.0854542786
seqsoy_P1_H,3.0851649551
serwap_P1,6.5105897783
setxew_P1,0.0012925645
sintiv_P1_charged_H,4.1785807561
sinwaq_P1_charged,3.4359790326
sinweu_P1_charged,3.4300052522
sitcuw_P1,1.8994853325
sixnev_P1,13.2839941254
sohmim_P1,2.7765054099
sokkot_P1,3.4179541688
soqsey_P1_H,8.4340839564
sufhim_P1,4.3750788885
sugcop_P1,3.9743122134
sumrok_P1,1.6389964833
sunlap_P1,9.4719341003
suntih_P1,9.1364952944
supcak_P1_H,8.3770990482
supcoy_P1,3.8838207333
supkog_P1,2.0609535305
suwciy_P1,0.964364281
suwrot_P1,4.0584530675
tacpap_P1_H,0.9276432826
tacpod_P1_H,0.9276432826
tadwec_P1,6.1564361174
tamhum_P1_charged,3.9319124997
tamjey_P1_charged,3.6324001157
tanber_P1_charged,0.3798886114
tasyuj_P1_charged_H,8.6090319349
taxliq_P1,5.1378036934
tebket_P1,0.4975307929
tebliy_P1,0.5081870984
tebluk_P1,0.5046169553
tedlum_P1,0.0
teltuc_P1,1.1370783231
tenlij_P1,2.9271187541
ternuc_P1,3.4469016306
tetzuq_P1,1.243685075
tevzea_P1,0.0020193092
texvok_P1,2.4896078768
teyboq_P1_charged,2.8001027143
teymoc_P1_charged,7.0957756473
tifhat_P1_charged_H,4.669441937
tiktal01_P1,2.5689136203
tisnuh_P1_H,7.9770809465
tivxom_P1_charged,0.5769526881
todfok_P1_H,6.6487776131
tofqem_P1,2.6795130855
torjiv_P1,3.142875698
tovjiz_P1,15.9419580721
townea_P1,7.3937202263
toycao_P1,1.4037396647
tudtaq_P1,1.8782406471
tugrev03_P1,10.4916456656
tugrev05_P1,9.3500571297
tugrev_P1,7.661478963
tuhfek_P1,7.0575275743
tumrie_P1,2.2952879016
tunjet_P1,2.2524867784
tupdit01_P1,2.2726239513
tupdit_P1,2.273386483
tuxtud_P1,1.7025097233
ucujou_P1,3.4501608163
udaxef_P1,3.3509225247
udonin_P1,2.0551353847
ufamum_P1,3.9509398325
ufurof_P1_charged,2.8933772507
uguqoc_P1_charged,2.8441075772
uhaxuw_P1,1.1042535019
uhoyuo_P1_charged,6.3287294272
ujaqom_P1_H,1.6582532333
ujaraz_P1_H,2.9617061169
ujedix_P1_H,1.5197141049
ujizet_P1,3.2321981018
ukapus_P1,1.6009724397
ukevir_P1,3.6311799784
ulimin_P1_H,1.6921130788
unazit_P1,2.0407557041
unigee_P1,12.4425938597
uninuc_P1_charged,9.164840159
upozab_P1,14.6613590628
uqenah_P1,3.0030087446
uqivib_P1_H,5.7190998665
uqoyop_P1_charged,1.9840295014
urenai_P1_charged,7.1809512881
uruwip_P1,1.8289512026
utewum_P1,9.2030376389
utulur_P1_H,1.8937682187
uvanow_P1,4.7806014107
uvufun_P1_charged,4.4418536933
uvuqae_P1,1.2926076612
uwuqej_P1,5.0872225617
uyapoa_P1,5.7806163549
uzewus_P1,4.4183761617
uzunaf_P1,1.673570093
vabrey_P1_charged,0.0
vagmoh_P1,14.8846437787
vahjew_P1,2.2359042804
vakbiu_P1,0.7042132424
vapfup_P1_H,0.0
vaprow_P1,3.0310421958
vasfaz_P1_H,1.1836956005
vasfed_P1_H,1.1843330428
vasgii_P1,3.8737021612
vaxjow_P1,12.8470526502
vazjeo_P1,2.923925422
vazsun_P1_H,0.1444747932
vedgao_P1,3.2140256956
vegbug_P1_H,8.4210942902
vegcan_P1_H,6.6367929509
vejyit_P1,4.9004519893
virxif_P1,0.0026319172
viszef_P1,13.9100716241
viyjul_P1,6.41568403
viyrut_P1,12.8727407493
vobgaw_P1,0.0003542566
vocxuh_P1,7.1052628255
vorsay_P1,0.5118377058
vorsec_P1,0.7010370873
vovkuo_P1_charged_H,0.8785085529
voytah_P1,1.1977338327
vozdum_P1,2.3443291521
vuhnet_P1,3.8523332683
vumyin_P1_charged,2.4015088277
vuwver_P1,5.4772664504
vuwviv_P1,5.6741018684
vuwwes_P1,5.8222301568
vuwwoc_P1,5.7278581021
vuwxuj02_P1,5.4244288541
vuwxuj05_P1,3.2750717287
vuxboi_P1,3.3381401074
vuxcup_P1,3.3324093496
vuzreq_P1,0.0068310278
wahfuj_P1,1.6472589964
wamrej_P1,11.3694338241
warjac_P1,1.6147397834
wasmub02_P1_charged,4.7269603331
wastug_P1_H,0.9063355053
wavlir_P1_charged,9.2058386025
wavriw_P1_H,6.3071504111
wegdix_P1_charged,2.0443128194
weggas_P1,2.0115363316
wehjok_P1_H,5.3907395797
wehril_P1_charged,2.2063290385
wemdoj_P1,0.0083071611
wemfif_P1,0.0317379219
wemfol_P1,0.0334286982
wemfur_P1_H,1.1674690222
weqquh_P1,4.0762967705
wetfuz_P1,4.2352455758
wevvol_P1_charged,3.9601737975
wexwaa_P1,4.9235419752
wihvep_P1,2.298310816
wijdav_P1_charged,1.9263608531
wijxeu_P1,8.5939027693
wimcaz_P1_charged_H,3.2332193509
wiqtun_P1,4.208476014
wiqvav_P1,5.7861705593
wirkoz_P1_H,6.9381749253
wistid_P1,1.0672386074
wizdep_P1_H,2.6784973436
wizmav05_P1_H,10.7968143336
wobhif04_P1,5.6124223751
wobqel_P1,3.175222836
wocvug01_P1,0.0
wodfon_P1_charged,6.2793901881
wodxeu_P1_H,1.4192033056
wohbol_P1,1.75589045
wojjov_P1,2.8168956375
